Название,Ссылка,Цена,Тип продукта,Страна,Содержание сахара,Цвет,Регион,"Объем, л",Сорт винограда,Классификация,Крепость,Бренд,Рейтинги,Аромат,Вкус,Способ производства,Гастрономия,Награды,Интересные факты,Философия производства,Год,Подарочная упаковка,Состав,Кислотность,Vivino
"Aguaribay Malbec, Mendoza",https://verigo.ru/product/aguaribay-malbec-mendoza,2 600 ₽,Вино,Аргентина,сухое,Глубокого насыщенного вишнёвого цвета.,Мендоса,"0,75",Мальбек,Mendoza,14%,Aguaribay,vivino 3.8,Яркие ароматы  спелой вишни и малины в сочетании с легкой ванилью придают этому вину элегантность и утонченность.,Мягкое и округлое с бархатистыми танинами. Сочное с кофейно-шоколадным длительным послевкусием.,"Ручной сбор и холодная мацерация для экстракции цвета и танинов. Традиционная ферментация в стали с последующей выдержкой: 20% кюве в новых бочках из французского дуба, 20% - в бочках второго розлива, 60% - в чанах из нержавеющей стали.","Прекрасно в сочетании с блюдами из красного мяса со специями, сыром с голубой плесенью и баклажаном на гриле.",2017 - Серебро на Concours Mondial de Bruxelles2019 - Золото на Mundus Vini2020 - Серебро на Mundus Vini,"Линейка вина ""Aguaribay"" получила свое название в честь одноименного дерева, очень символичного для региона Мендоса, прекрасно адаптированного к условиям средней высоты Анд. Агуарибай часто встречается у подножия этого величественного горного хребта. Это вечнозеленое дерево, относящееся к семейству перечных деревьев.",,,,,,
Alexander Steinbach Gewurztraminer,https://verigo.ru/product/alexander-steinbach-gewurztraminer,1 580 ₽,Вино,Венгрия,полусладкое,Сияющее золотисто-желтое вино.,Верхняя Венгрия,"0,75",Гевюрцтраминер,PGI Felso-Magyarorszag,"11,5%",Alexander Steinbach,vivino 3.9,"В аромате интенсивный букет лепестков роз, фиалок, личи и меда.","Вкус насыщенный, с тонкими пряными нотками.",,"Идеально сочетается с блюдами средиземноморской кухни, белым мясом, рыбой и сыром.",,,,,,,,
"Atteca, DO Calatayud",https://verigo.ru/product/atteca,3 880 ₽,Вино,Испания,сухое,Вино выразительного красного цвета.,Арагон,"0,75",Гарнача,DO Calatayud,15%,Gil Family Estates,vivino 3.9,Яркие ароматы темной вишни и сливы. .,"Во вкусе ноты мяты, апельсиновой цедры и оттенки сассафраса. Мягкие танины, сочная кислотность, в послевкусии оттенки дыма.",10 месяцев в бочках из французского дуба,"Идеально сочетается с рисом, пастой, овощами, грибами, тушеным мясом в соусе, мясом на гриле, сырами",,,,,,,,
Au Contraire Pinot Noir Sonoma Coast,https://verigo.ru/product/au-contraire-pinot-noir-sonoma-coast,6 940 ₽,Вино,США,сухое,"Красивый, глубокий вишнево-красный цвет.",Калифорния,"0,75",Пино Нуар,Sonoma Coast AVA,"14,5%",Au Contraire,vivino 3.9,"Аромат вишни, клубника и нотки сливы, сопровождаемые приятным, мягким, пряным оттенком.","Элегантный и шелковистый вкус, подчеркивающий нежность спелых фруктов. Пино Нуар в лучших традициях Бургундии.",Выдержка  в  100% французском дубе (35% нового).,"Идеально сочетается с жареной курицей или индейки, острыми мясными блюдами и шашлыками.",,,,,,,,
"Balbinot Prosecco Millesimo, Prosecco DOC Treviso",https://verigo.ru/product/balbinot-prosekko-millezimo-balbinot-prosecco-millesimo,2 260 ₽,Игристое вино,Италия,брют,Блестящего соломенного цвета.,Венето,"0,75",Глера,DOC Prosecco Treviso,"11,5%",Balbinot,Ff 89; vivino 4.0,"Персик, белые цветы, зелёное яблоко, цитрусовые нотки с легкими оттенками свежеиспечённого хлеба.","Нежный свежий вкус, воздушное и изящное, с приятным покалыванием на языке и лёгкой горчинкой в послевкусии.","Мягкое прессование винограда, традиционная ферментация. Далее вино 2 месяцавыдерживается в стали, после чего подвергается вторичному брожению в автоклаве. Выдержка в бутылке - 30 дней.","Идеально в качестве аперитива, а также хорошо сочетается с морепродуктами, овощным салатом с лимоном, суши и свежими сливочными сырами.",Falstaff – 89/1002018 – Серебро на Mundus vini 2019,"На территории хозяйства Le Manzane ежегодно проводится благотворительный фестиваль Vendemmia Sociale (Social Harvest), который собирает средства для фонда Диего Мурари UNICO1 (помощь детям с редкими заболеваниями).",,,,,,
"Balbinot Prosecco Millesimo, Prosecco DOC Treviso",https://verigo.ru/product/balbinot-prosecco-millesimo-prosecco-doc-treviso,2 260 ₽,Игристое вино,Италия,сухое,Красивого соломенного цвета.,Венето,"0,75",Глера,DOC Prosecco Treviso,"11,5%",Balbinot,,"В бокале раскрывается нотками зелёного яблока, груши, орехов с оттенками цветов и полевых трав.",Освежающий вкус с яркой кислотностью и яблочными нюансами во вкусе. Устойчивый перляж с приятным покалыванием на нёбе и длительное послевкусие.,"Мягкое прессование винограда, традиционная ферментация. Далее вино 2 месяца выдерживается в стали, после чего 30 дней подвергается вторичному брожению в автоклаве. Выдержка в бутылке - 30 дней.","Идеально в качестве аперитива, а также хорошо сочетается с гребешком на гриле, греческим салатом и треске с долькой лимона.",,"Семейный бизнес Балбинотов является фундаментальной частью идентичности бренда, а понятие «семья» выходит за рамки кровных уз. Команда сотрудников с многолетним стажем является такой же частью Balbinot и Le Manzane, как и те, кто основал хозяйство.",,,,,,
"Balbinot Prosecco Rose Millesimo, Prosecco DOC Treviso",https://verigo.ru/product/balbinot-prosekko-roze-millezimo,2 300 ₽,Игристое вино,Италия,брют,Вино светло-розового цвета с красивым перляжем.,Венето,"0,75",Глера; Пино Нуар,DOC Prosecco Treviso,"11,5%",Balbinot,vivino 4.0,"Аромат фруктовый, с легким оттенком лесных ягод.","Вкус сухой, свежий, с чуть терпким послевкусием.",Изготовлено из винограда одного года урожая.,"Игристое вино идеально в качестве аперитива, хорошо сочетается с белым мясом, рыбой, морепродуктами, салатами, суши и свежими сливочными сырами.",,,,,,,,
Baron d’Arignac,https://verigo.ru/product/baron-darignac,1 460 ₽,Вино,Франция,полусухое,"Рубиново-красный цвет, средней интенсивности",,"0,75",Гренаш; Темпранильо,,12%,Baron d’Arignac,,"Яркий, приятный аромат, легкие ноты красных фруктов без сложности.","На вкус округлое, полусухое вино очень приятное",,Вино прекрасно подходит для мясных блюд . Оно также может быть подано как аперитив и в винных барах.,,,,,,,,
Baron d’Arignac,https://verigo.ru/product/baron-darignac-949040,1 460 ₽,Вино,Франция,полусухое,"Очень светло-желтый, со светлыми оттенками зеленого.",,"0,75",Айрен; Уньи Блан,,12%,Baron d’Arignac,,"Аромат чистый, несколько оттенков белых цветов, без сложности","Вкус округлый , приятное, легко пьющееся вино.",,Вино прекрасно подходит для рыбных блюд . Оно также может быть подано как аперитив и в винных барах.,,,,,,,,
Baron d’Arignac,https://verigo.ru/product/baron-darignac-2,1 500 ₽,Вино,Франция,полусладкое,"Цвет приятный, бледно-желтый.",,"0,75",Айрен; Уньи Блан,,12%,Baron d’Arignac,,"Аромат чистый, несколько оттенков белых цветов, без сложности","Легкое, приятное полусладкое вино.",,Вино прекрасно подходит для рыбных блюд . Оно также может быть подано как аперитив и в качестве сопровождения десертов,,,,,,,,
